"ID","NAME","PARENT_ID","ATTRIBUTE_SET_ID","POSITION","CAT_LEVEL","DISPLAY_ID","IS_MAIN"
"1010307","宝宝口腔护理","10103","0","7","3","667","0"
"1010501","补钙","10105","0","1","3","668","0"
"1010601","产后塑形美体","10106","0","1","3","669","0"
"1020105","改善睡眠","10201","0","5","3","670","0"
"1010712","洗浴护肤","10107","1539","12","3","671","1"
"1010904","防晒隔离","10109","0","4","3","672","1"
"1030105","胃痛","10301","0","5","3","673","0"
"1030106","便秘","10301","0","6","3","674","0"
"1020903","阿胶/鸡精","10209","1560","3","3","675","1"
"1050501","豆浆机","10505","0","1","3","676","0"
"1050503","加湿/净化器","10505","0","3","3","677","0"
"1050506","日常用品","10505","0","6","3","678","0"
"10310","眼科用药","103","0","11","2","680","1"
"10311","耳鼻喉口腔用药","103","0","12","2","681","1"
"1040502","脱毛","10405","0","2","3","682","1"
"1040505","去角质","10405","1541","5","3","683","1"
"1040602","唇膏","10406","1542","2","3","684","1"
"1031301","月经不调","10313","1576","1","3","685","1"
"1031403","咽喉肿痛","10314","1609","3","3","686","1"
"1031501","西药感冒","10315","1613","1","3","687","1"
"1032003","健脾消食","10320","1612","3","3","688","1"
"1040701","补水保湿","10407","0","1","3","689","0"
"1040706","唇膏","10407","0","6","3","690","0"
"10409","抗衰老","104","0","9","2","691","0"
"1040902","祛眼袋","10409","0","2","3","692","0"
"10507","保健按摩","105","0","7","2","693","1"
"1050702","头部按摩","10507","0","2","3","694","1"
"1051004","健身器械/器材","10510","0","4","3","695","1"
"1051203","体温计","10512","0","3","3","696","1"
"199","促销赠品","1","0","199","1","697","1"
"1010101","孕产妇牙膏/牙刷","10101","1525","1","3","698","1"
"1010304","免疫提升","10103","0","4","3","699","0"
"1010502","维矿补充","10105","0","2","3","700","0"
"1010203","DHA/健脑益智","10102","0","3","3","701","1"
"1010206","鱼肝油","10102","0","6","3","702","1"
"1010209","排铅","10102","0","9","3","703","1"
"1011002","卫生护理","10110","1545","2","3","704","1"
"1011003","衣物清洁","10110","0","3","3","705","1"
"1030104","手足癣","10301","0","4","3","706","0"
"1020901","葡萄籽/番茄红素","10209","1559","1","3","707","1"
"1030504","妇科炎症","10305","0","4","3","708","0"
"1040201","牙膏","10402","1523","1","3","709","1"
"1040304","面霜","10403","1530","4","3","710","1"
"1030901","退烧止痛","10309","1601","1","3","711","1"
"1031001","抗视疲劳","10310","1596","1","3","712","1"
"1040508","洗护","10405","0","8","3","713","1"
"1031307","妇科外用","10313","1570","7","3","714","1"
"10316","骨伤科用药","103","0","17","2","715","1"
"1031602","抗骨质增生药","10316","0","2","3","716","1"
"1031801","补钙","10318","1623","1","3","717","1"
"10410","修护肌肤","104","0","10","2","718","0"
"1041002","祛印","10410","0","2","3","719","0"
"1050901","艾灸/拔罐","10509","0","1","3","720","1"
"1051204","计步器","10512","0","4","3","721","1"
"1032006","腹泻便秘","10320","1608","6","3","722","1"
"1010309","防蚊防晒","10103","0","9","3","723","0"
"1010311","湿巾/纸巾","10103","0","11","3","724","0"
"1020102","补脑益精","10201","0","2","3","725","0"
"1020301","抵抗辐射","10203","0","1","3","727","0"
"1010805","蛋白粉","10108","0","5","3","728","1"
"1010808","免疫调节","10108","0","8","3","729","1"
"1020403","润肠通便","10204","0","3","3","730","0"
"1010901","防妊娠纹","10109","1543","1","3","731","1"
"1030401","关节炎","10304","0","1","3","732","0"
"1021008","膳食纤维","10210","0","8","3","735","1"
"1050302","中医养生器具","10503","0","2","3","736","0"
"1050504","果蔬解毒机","10505","0","4","3","737","0"
"1040104","眼贴","10401","0","4","3","738","1"
"10308","止咳平喘","103","0","9","2","739","1"
"1030801","止咳化痰","10308","1591","1","3","740","1"
"1031101","口腔溃疡","10311","1592","1","3","741","1"
"1031105","中耳炎","10311","0","5","3","742","1"
"1031205","烧伤烫伤","10312","1583","5","3","743","1"
"1031206","皮肤创伤","10312","1584","6","3","744","1"
"1031208","皮肤皲裂","10312","0","8","3","745","1"
"1031304","益气补血","10313","1573","4","3","746","1"
"10317","抗过敏及抗眩晕","103","0","18","2","747","1"
"1032001","感冒发烧","10320","1615","1","3","748","1"
"1050705","身体按摩","10507","0","5","3","750","1"
"1050805","护眼灯","10508","0","5","3","751","1"
"10510","运动护具","105","0","10","2","752","1"
"1010302","骨骼成长","10103","0","2","3","754","0"
"1010310","宝宝洗护","10103","0","10","3","755","0"
"1010104","婴幼儿漱口ㄠ","10101","0","4","3","756","1"
"1010106","婴幼儿唇膏","10101","0","6","3","757","1"
"1010709","湿巾/纸巾","10107","1536","9","3","758","1"
"1020204","补气养血","10202","0","4","3","759","0"
"10205","青少年成长","102","0","5","2","760","0"
"1020501","健脑益智","10205","0","1","3","761","0"
"10110","孕产妇护理","101","0","10","2","762","1"
"10207","维矿补充","102","0","7","2","763","1"
"10303","职场精英","103","0","4","2","764","0"
"1030402","骨质疏松","10304","0","2","3","765","0"
"1020907","蔓越莓","10209","0","7","3","766","1"
"10210","美体瘦身","102","0","10","2","767","1"
"1021301","无糖冲饮","10213","0","1","3","768","1"
"1030703","抑酸止痛/解痉","10307","1572","3","3","769","1"
"1030704","健脾和胃","10307","1574","4","3","770","1"
"1030707","润肠通便","10307","1582","7","3","771","1"
"10403","面部护理","104","0","3","2","772","1"
"1040301","洁面","10403","1521","1","3","773","1"
"1040401","足贴","10404","0","1","3","774","1"
"1031005","祛火明目","10310","1600","5","3","775","1"
"1031903","滋阴补肾","10319","1621","3","3","776","1"
"1040801","防晒/隔离","10408","0","1","3","777","0"
"1041101","祛斑","10411","0","1","3","778","0"
"1050905","消毒用品","10509","0","5","3","779","1"
"1050910","保健用品","10509","0","10","3","780","1"
"1032201","口服避孕药","10322","0","1","3","781","1"
"1020909","大豆异黄酮","10209","0","9","3","783","1"
"1030109","养生滋补","10301","0","9","3","784","0"
"1010701","棉签/棉纱","10107","1529","1","3","785","1"
"1010705","防蚊防晒","10107","1532","5","3","786","1"
"1010706","洗涤清洁","10107","1533","6","3","787","1"
"1010803","补血/铁","10108","0","3","3","788","1"
"1020405","无糖食品","10204","0","5","3","790","0"
"10302","运动旅行","103","0","3","2","791","0"
"1030201","皮肤外伤","10302","0","1","3","792","0"
"1020604","氨基酸","10206","0","4","3","793","1"
"10304","中老年用药","103","0","5","2","794","0"
"1020702","维生素E","10207","0","2","3","795","1"
"10208","心脑血管养护","102","0","8","2","796","1"
"1020802","卵磷脂","10208","0","2","3","797","1"
"1020807","其它心脑血管养护","10208","0","7","3","798","1"
"1021001","苹果醋","10210","0","1","3","799","1"
"1030603","消化不良","10306","0","3","3","800","0"
"1021101","海狗油","10211","0","1","3","801","1"
"1050103","美腿足疗机","10501","0","3","3","802","0"
"1021201","菊皇茶","10212","0","1","3","803","1"
"1021202","苦荞茶","10212","0","2","3","804","1"
"1021204","养颜蜂蜜","10212","0","4","3","805","1"
"1021401","休闲小食","10214","1566","1","3","806","1"
"1030701","胃及十二指肠溃疡","10307","1568","1","3","808","1"
"1040303","乳液/精华","10403","1527","3","3","809","1"
"1040307","男士护肤","10403","0","7","3","810","1"
"1031209","腋臭","10312","1588","9","3","811","1"
"1040803","BB霜","10408","0","3","3","812","0"
"1041103","抗过敏","10411","0","3","3","813","0"
"1050902","刮痧/砭石","10509","0","2","3","814","1"
"1050907","理疗贴剂","10509","0","7","3","815","1"
"1030714","胃癌食道癌","10307","1574","14","3","1230","1"
"1030502","益气补血","10305","0","2","3","734","0"
"1051002","护腰/护颈/护肩","10510","1547","2","3","753","1"
"1030805","肺癌","10308","0","5","3","1232","1"
"1031106","清咽润喉","10311","0","6","3","1239","1"
"1031216","麻风病","10312","0","16","3","1245","1"
"1031308","阴道炎","10313","0","8","3","1250","1"
"1031607","腰肌劳损","10316","0","7","3","1258","1"
"1031610","静脉曲张、脉管炎","10316","0","10","3","1261","1"
"1031806","营养类","10318","0","6","3","1270","1"
"1032008","补钙铁锌","10320","0","8","3","1274","1"
"1032102","高血压类","10321","0","2","3","1282","1"
"1032106","动脉闭塞","10321","0","6","3","1286","1"
"1032107","冠心病","10321","0","7","3","1287","1"
"1032114","心力衰竭","10321","0","14","3","1311","1"
"10325","肝胆胰类用药","103","0","26","2","1314","1"
"10327","泌尿系统","103","0","28","2","1316","1"
"10329","脱发类药","103","0","30","2","1318","1"
"10330","减肥瘦身","103","0","31","2","1319","1"
"10331","戒烟解酒","103","0","32","2","1320","1"
"10333","血液疾病","103","0","34","2","1322","1"
"10335","祛暑用药","103","0","36","2","1324","1"
"1032504","胆囊炎","10325","0","4","3","1339","1"
"1032309","其他用药","10323","0","9","3","1332","1"
"1032402","口服降糖西药","10324","0","2","3","1334","1"
"1032506","脂肪肝类","10325","0","6","3","1341","1"
"1032508","胆结石","10325","0","8","3","1343","1"
"1032509","肝癌类药","10325","0","9","3","1344","1"
"1032510","降转氨酶","10325","0","10","3","1345","1"
"1032602","补肾壮阳","10326","0","2","3","1350","1"
"1032702","肾炎肾癌","10327","0","2","3","1354","1"
"1032703","肾结石、尿路结石","10327","0","3","3","1355","1"
"1032704","水肿","10327","0","4","3","1356","1"
"1032705","尿崩症","10327","0","5","3","1357","1"
"1032706","肾病综合症","10327","0","6","3","1358","1"
"1032707","尿毒症","10327","0","7","3","1359","1"
"1032801","细菌感染","10328","0","1","3","1361","1"
"1032803","真菌感染","10328","0","3","3","1363","1"
"1033202","免疫功能低","10332","0","2","3","1366","1"
"1033301","血小板减少","10333","0","1","3","1367","1"
"1033302","贫血类药","10333","0","2","3","1368","1"
"1033603","甲状腺功能失调","10336","0","3","3","1390","1"
"1010301","健脑益智/DHA","10103","0","1","3","816","0"
"10104","科学备孕","101","0","4","2","817","0"
"1010703","湿疹","10107","0","3","3","819","1"
"1020103","降脂排毒","10201","0","3","3","820","0"
"1020302","缓解疲劳","10203","0","2","3","821","0"
"1010806","DHA","10108","0","6","3","822","1"
"1030205","晕车","10302","0","5","3","823","0"
"1020605","蜂胶/蜂产品","10206","1552","5","3","824","1"
"1020703","维生素B","10207","1554","3","3","825","1"
"1020803","大蒜油","10208","1558","3","3","826","1"
"10306","儿童用药","103","0","7","2","827","0"
"1030601","感冒发烧","10306","0","1","3","828","0"
"1021004","纤体梅","10210","0","4","3","829","1"
"1050101","瘦身仪器","10501","0","1","3","830","0"
"1021104","护肝解酒","10211","1564","4","3","831","1"
"1050301","保健按摩","10503","0","1","3","832","0"
"1021205","其他健康茶饮","10212","0","5","3","833","1"
"10505","生活管家","105","0","5","2","834","0"
"1040101","美瞳","10401","1661","1","3","835","1"
"1040302","爽肤","10403","1522","2","3","836","1"
"1040402","足浴盐","10404","0","2","3","837","1"
"10312","皮肤用药","103","0","13","2","838","1"
"1031201","手足癣病","10312","1578","1","3","839","1"
"1031204","银屑病","10312","0","4","3","840","1"
"1041001","祛痘","10410","0","1","3","842","0"
"1031601","跌打损伤药","10316","1618","1","3","843","1"
"1031606","肩周炎颈椎病","10316","1631","6","3","844","1"
"1041006","祛黑头","10410","0","6","3","845","0"
"1021009","润肠茶/胶囊","10210","0","9","3","846","1"
"1040501","瘦身","10405","0","1","3","847","1"
"1990101","全网站赠品","19901","0","1","3","848","1"
"1030715","其他用药","10307","1574","15","3","1231","1"
"1031008","视物昏花","10310","0","8","3","1236","1"
"1031009","眼底病变","10310","0","9","3","1237","1"
"1031309","产后疾病","10313","0","9","3","1251","1"
"1031310","盆腔炎","10313","0","10","3","1252","1"
"1031807","补铁补硒","10318","0","7","3","1271","1"
"1032103","高血脂类","10321","0","3","3","1283","1"
"1032105","中风偏瘫","10321","0","5","3","1285","1"
"1032109","心肌病","10321","0","9","3","1289","1"
"1032111","心律不齐","10321","0","11","3","1308","1"
"1032112","外周血管疾病","10321","0","12","3","1309","1"
"1032115","其他用药","10321","0","15","3","1312","1"
"10326","男科用药","103","0","27","2","1315","1"
"10332","免疫调节","103","0","33","2","1321","1"
"10334","痔疮类药","103","0","35","2","1323","1"
"1032306","眩晕、晕动症","10323","0","6","3","1329","1"
"1032307","肌无力类","10323","0","7","3","1330","1"
"1032401","口服降糖中成药","10324","0","1","3","1333","1"
"1032501","乙肝用药","10325","0","1","3","1335","1"
"1032403","注射类降糖药","10324","0","3","3","1337","1"
"1032505","疏肝理气","10325","0","5","3","1340","1"
"1032513","其他用药","10325","0","13","3","1348","1"
"1032603","性功能障碍","10326","0","3","3","1351","1"
"1032604","滋阴补肾","10326","0","4","3","1352","1"
"1032802","病毒感染","10328","0","2","3","1362","1"
"1032804","其他用药","10328","0","4","3","1364","1"
"1033201","类风湿","10332","0","1","3","1365","1"
"1033303","白细胞减少","10333","0","3","3","1369","1"
"1033306","止血类药","10333","0","6","3","1372","1"
"1033401","内服痔疮用药","10334","0","1","3","1374","1"
"1033601","激素类药","10336","0","1","3","1388","1"
"1032310","抗抑郁药","10323","0","10","3","1428","1"
"1011101","2段奶粉","10111","0","1","3","1489","1"
"1011102","3段奶粉","10111","0","2","3","1490","1"
"10602","精制饮片","106","0","2","2","1509","1"
"10604","单方饮片","106","0","4","2","1511","1"
"1060103","藏红花","10601","0","3","3","1515","1"
"1060104","海参","10601","0","4","3","1516","1"
"1060106","石斛","10601","0","6","3","1518","1"
"1060107","阿胶类","10601","0","7","3","1519","1"
"1010306","维矿补充","10103","0","6","3","849","0"
"1010202","钙铁锌","10102","0","2","3","850","1"
"1010204","益生菌","10102","0","4","3","851","1"
"1010602","产后祛疤","10106","0","2","3","852","0"
"1010605","补气养血","10106","0","5","3","853","0"
"1020205","排毒养颜","10202","0","5","3","854","0"
"1011004","排卵测孕","10110","0","4","3","855","1"
"1030303","肩周炎","10303","0","3","3","856","0"
"1030403","失眠健忘","10304","0","3","3","857","0"
"1020705","补铁/锌","10207","0","5","3","858","1"
"1020904","羊胎素","10209","0","4","3","859","1"
"1020905","胶原蛋白","10209","1561","5","3","860","1"
"1030503","乳腺疾病","10305","0","3","3","861","0"
"1050201","拐杖/助行器/轮椅","10502","0","1","3","862","0"
"10504","三高检测","105","0","4","2","863","0"
"1050402","血压计","10504","0","2","3","864","0"
"10401","眼部护理","104","0","1","2","865","1"
"1030705","消积化食","10307","1577","5","3","866","1"
"1040103","眼霜/精华","10401","0","3","3","867","1"
"10402","口腔护理","104","0","2","2","868","1"
"1030804","呼吸道感染","10308","0","4","3","869","1"
"1031003","抗菌消炎","10310","1598","3","3","870","1"
"1040404","护手","10404","1540","4","3","871","1"
"1031904","减肥瘦身","10319","1622","4","3","872","1"
"10408","美白护理","104","0","8","2","873","0"
"1040802","美白","10408","0","2","3","874","0"
"10411","敏感肌肤","104","0","11","2","875","0"
"1041102","祛红血丝","10411","0","2","3","876","0"
"1050906","医用辅料","10509","0","6","3","877","1"
"1051104","制氧机/氧气袋","10511","0","4","3","878","1"
"1030711","理气止痛","10307","1574","11","3","879","1"
"1031401","解热祛暑","10314","1606","1","3","881","1"
"1990202","营养赠品","19902","0","2","3","882","1"
"1040105","隐形眼镜","10401","1641","5","3","1208","1"
"1020304","明目养眼","10203","0","4","3","789","0"
"1050602","户外运动护具","10506","0","2","3","807","0"
"1010702","退热降温","10107","0","2","3","818","1"
"19902","子频道赠品","199","0","2","2","880","1"
"1040509","染发h油","10405","0","9","3","906","1"
"1031214","疥疮","10312","0","14","3","1243","1"
"1031219","红斑狼疮","10312","0","19","3","1248","1"
"1031608","滑膜炎","10316","0","8","3","1259","1"
"1031613","骨质疏松","10316","0","13","3","1264","1"
"1031805","补钾类","10318","0","5","3","1269","1"
"1032104","心绞痛类","10321","0","4","3","1284","1"
"1032110","肺动脉高压","10321","0","10","3","1290","1"
"1032113","动脉硬化","10321","0","13","3","1310","1"
"1032303","帕金森类","10323","0","3","3","1326","1"
"1032308","面瘫癫痫","10323","0","8","3","1331","1"
"1032502","肝炎用药","10325","0","2","3","1336","1"
"1032512","胰腺癌","10325","0","12","3","1347","1"
"1032601","前列腺类","10326","0","1","3","1349","1"
"1033304","白血病","10333","0","4","3","1370","1"
"1033307","血友病","10333","0","7","3","1373","1"
"1033602","内分泌失调","10336","0","2","3","1389","1"
"10337","抗痛风药","103","0","38","2","1408","1"
"1032311","抗焦虑药","10323","0","11","3","1429","1"
"1032312","精神分裂","10323","0","12","3","1430","1"
"1011103","特殊配方奶粉","10111","0","3","3","1491","1"
"10111","奶粉","101","0","11","2","1488","1"
"10601","参茸贵细","106","0","1","2","1508","1"
"10603","千方百剂","106","0","3","2","1510","1"
"1060101","参类","10601","0","1","3","1513","1"
"1060102","虫草","10601","0","2","3","1514","1"
"1060111","黄芪","10601","0","11","3","1523","1"
"1060201","药食同源","10602","0","1","3","1524","1"
"1060202","包装饮片","10602","0","2","3","1525","1"
"1060301","养元参麦茶","10603","0","1","3","1526","1"
"1060302","疏风养血汤","10603","0","2","3","1527","1"
"1060306","双花洋参饮","10603","0","6","3","1532","1"
"1010401","补充叶酸","10104","0","1","3","883","0"
"10101","口腔护理","101","0","1","2","884","1"
"1010404","防辐射","10104","0","4","3","885","0"
"10107","宝宝护理","101","0","7","2","886","1"
"1020104","补肾壮阳","10201","0","4","3","887","0"
"1020203","延缓衰老","10202","0","3","3","888","0"
"1010902","产后祛疤","10109","0","2","3","889","1"
"1010903","产后塑形美体","10109","0","3","3","890","1"
"1020503","营养补充","10205","0","3","3","891","0"
"1020601","蛋白粉","10206","0","1","3","892","1"
"1030202","跌打损伤","10302","0","2","3","893","0"
"1020603","螺旋藻","10206","1551","3","3","894","1"
"1030302","颈椎病","10303","0","2","3","895","0"
"10209","美容养颜","102","0","9","2","896","1"
"1020902","芦荟","10209","0","2","3","897","1"
"1030505","更年期综合症","10305","0","5","3","898","0"
"10214","休闲食品","102","0","14","2","899","1"
"1050502","酸奶机","10505","0","2","3","900","0"
"1050505","护眼灯","10505","0","5","3","901","0"
"1030709","驱肠虫药","10307","1587","9","3","902","1"
"1031103","急慢性咽喉炎","10311","1593","3","3","903","1"
"1040504","精油","10405","0","4","3","904","1"
"1031202","蚊虫叮咬","10312","1580","2","3","905","1"
"1031604","腰腿疼痛","10316","1628","4","3","907","1"
